bound_scenario,unobserved_outcome_value,eligible_n,observed_n,unobserved_n,n,weighted_n,events,event_rate,predicted_mean,oe_ratio,calibration_intercept,calibration_joint_intercept,calibration_slope,auroc,auprc,brier,brier_skill_score,grouped_absolute_calibration_error_10q,threshold_5_alerts,threshold_5_alerts_per_1000,threshold_5_true_positives_per_1000,threshold_5_false_positives_per_1000,threshold_5_sensitivity,threshold_5_positive_predictive_value,threshold_5_false_positives_per_true_positive,threshold_5_absolute_net_benefit,threshold_5_treat_all_net_benefit,threshold_5_incremental_net_benefit_vs_better_default,threshold_10_alerts,threshold_10_alerts_per_1000,threshold_10_true_positives_per_1000,threshold_10_false_positives_per_1000,threshold_10_sensitivity,threshold_10_positive_predictive_value,threshold_10_false_positives_per_true_positive,threshold_10_absolute_net_benefit,threshold_10_treat_all_net_benefit,threshold_10_incremental_net_benefit_vs_better_default,threshold_20_alerts,threshold_20_alerts_per_1000,threshold_20_true_positives_per_1000,threshold_20_false_positives_per_1000,threshold_20_sensitivity,threshold_20_positive_predictive_value,threshold_20_false_positives_per_true_positive,threshold_20_absolute_net_benefit,threshold_20_treat_all_net_benefit,threshold_20_incremental_net_benefit_vs_better_default
all unobserved outcomes are non-events,0.0,2587,2033,554,2587.0,2587.0,224.0,0.08658678005411674,0.09830239052157917,0.880820696167194,-0.15032452585164702,-0.1316989352241886,1.0092731508043111,0.7023371848739496,0.23007586743913067,0.07410357177857024,0.06304170834114109,0.014618972614018929,2087.0,806.7259373792037,80.01546192500966,726.710475454194,0.9241071428571429,0.09918543363679923,9.082125603864734,0.0417675421642626,0.038512400056964984,0.0032551421072976178,768.0,296.8689601855431,50.25125628140704,246.61770390413608,0.5803571428571429,0.16927083333333334,4.907692307692308,0.022849289180947474,-0.014903577717648067,0.022849289180947474,191.0,73.83069192114418,23.192887514495556,50.63780440664863,0.26785714285714285,0.31413612565445026,2.183333333333333,0.0105334364128334,-0.1417665249323541,0.0105334364128334
all unobserved outcomes are events,1.0,2587,2033,554,2587.0,2587.0,778.0,0.300734441437959,0.09830239052157917,3.0592790250807007,1.50189951200423,-1.364052425218055,-0.21431968695853304,0.42832289566165177,0.2889808950194644,0.25822530205158606,-0.22792965444562485,0.20243205091637984,2087.0,806.7259373792037,220.33243138770777,586.3935059914959,0.7326478149100257,0.2731193100143747,2.66140350877193,0.1894696152828922,0.2639309909873253,-0.07446137570443312,768.0,296.8689601855431,76.92307692307692,219.94588326246617,0.25578406169665807,0.2591145833333333,2.85929648241206,0.05248464544946957,0.22303826826439893,-0.17055362281492936,191.0,73.83069192114418,27.831465017394667,45.999226903749516,0.09254498714652956,0.3769633507853403,1.6527777777777777,0.016331658291457288,0.1259180517974488,-0.10958639350599152
