phase,model_specification,eligible_n,observed_n,unobserved_n,observation_rate,propensity_min,propensity_p01,propensity_median,propensity_p99,propensity_max,fraction_outside_common_support,auroc,brier,calibration_intercept,calibration_joint_intercept,calibration_slope,weight_rule,raw_weight_min,raw_weight_p99,raw_weight_max,truncation_low,truncation_high,weight_min,weight_p99,weight_max,effective_sample_size
INSPIRE,basic,33396,24874,8522,0.7448197388908852,0.1036187356718227,0.213154184184373,0.8000026595255656,0.9998489958238302,0.999999,0.0029344831716373,0.8372334349680004,0.1370528816064825,-0.000434942807701,0.0002301788280857,0.9989250887739448,,,,,,,,,,
INSPIRE,expanded,33396,24874,8522,0.7448197388908852,0.0124334962365367,0.1953989061254312,0.81547219898174,0.9963585356663404,0.9996908089754568,0.0064079530482692,0.8452154809547796,0.1334413680501569,7.420374017368412e-05,-0.0252783108387098,1.039803001137653,1/99,1.0003092866532004,3.698265487082193,8.777256370921425,1.0032925770650176,3.698265487082193,1.0140826254283768,3.737207471968224,3.738038993214266,21745.66799974008
MOVER 2021,basic,2802,2212,590,0.7894361170592434,0.4094265248052141,0.480528326936363,0.810241704617529,0.9884583297428382,0.9995590093747484,0.0253390435403283,0.7155239525546326,0.1500248283780062,-2.3781295135338984e-05,0.0065507026540287,0.9942178303958652,,,,,,,,,,
MOVER 2021,expanded,2802,2212,590,0.7894361170592434,0.1676805830967844,0.3433330017320264,0.8455905079696928,0.9948350643911336,0.9979929194685752,0.0531763026409707,0.7968645600269715,0.1327661191626395,-0.0030238218076529,0.0116199891441034,0.9847315202141632,1/99,1.0020111170052124,2.474350097726173,3.539179405626368,1.0047732236783091,2.474350097726173,1.0114907606838512,2.490824519905788,2.4908926746524305,2080.5340469267244
MOVER 2022,basic,2587,2033,554,0.7858523386161577,0.3510382231029098,0.4436190246213818,0.8133935401819503,0.990991063407905,0.9991094313662434,0.0092771550057982,0.7311605796772034,0.1497023418532501,0.0008382810797195,0.0336768724552174,0.9698482801819964,,,,,,,,,,
MOVER 2022,expanded,2587,2033,554,0.7858523386161577,0.1828726260096471,0.2984176192633366,0.8548309517304817,0.9960839626348074,0.9981483788597768,0.0127560881329725,0.8173627919117947,0.1289153069803566,-0.003873987026074,-0.0100049700605268,1.0067938059922072,1/99,1.0018550560011312,2.806587335714816,3.589829432800426,1.0035499724844674,2.806587335714816,1.0104488595358396,2.8195976981897024,2.825881172155241,1879.023546284448
