phase,group,n,age_mean,age_sd,male_percent,asa_mean,duration_h_mean,duration_h_sd,baseline_cr_mean,baseline_cr_sd,observed_events
INSPIRE,all eligible,33396,55.9766139657444,15.835538139548795,51.42232602706911,1.7746627384090556,3.011740427995369,1.944236955416078,0.8486333692657804,0.3496286322304272,
INSPIRE,outcome observed,24874,57.5601029187103,15.466678181368115,54.49465305137895,1.8330000833125053,3.4675598349012353,1.9879228960069713,0.8593684168207769,0.3697424553499833,1671.0
INSPIRE,outcome unobserved,8522,51.35472893686928,15.994162818663035,42.454822811546585,1.6046850345915766,1.68129547054682,0.9498765541300564,0.8172999295939921,0.2805351758791088,
MOVER 2021,all eligible,2802,51.361527480371166,19.319027887254755,59.743040685224834,2.699393073902178,3.3619081608374968,2.0716902928706253,0.9034618129907208,0.4819025502948885,
MOVER 2021,outcome observed,2212,53.44303797468354,19.31054767148245,60.98553345388788,2.8317503392130257,3.5741109101868593,2.1925179290590084,0.9078209764918626,0.4915544975989592,245.0
MOVER 2021,outcome unobserved,590,43.55762711864407,17.257243781980552,55.08474576271186,2.2033898305084745,2.566327683615819,1.2497828062452945,0.8871186440677966,0.4438642278813707,
MOVER 2022,all eligible,2587,51.62234248163897,19.523044750649692,57.98221878623888,2.671820641669888,3.257299317098312,1.9686584831551976,0.9063393892539622,0.4671315911391058,
MOVER 2022,outcome observed,2033,54.126414166256765,19.50674362950415,59.76389572060994,2.832759468765371,3.47027381537957,2.08149685366172,0.923413674372848,0.4940021702807118,224.0
MOVER 2022,outcome unobserved,554,42.43321299638989,16.629242249586074,51.44404332129964,2.0812274368231045,2.47575210589651,1.1935904294361146,0.8436823104693141,0.3445333560480515,
