weight_rule,is_canonical,source_preprocessor_training_n,update_alpha,update_beta,target_events,target_event_rate,target_predicted_mean,target_oe_ratio,target_calibration_intercept,target_calibration_joint_intercept,target_calibration_slope,target_auroc,target_auprc,target_brier,target_brier_skill_score,target_grouped_absolute_calibration_error_10q,source_raw_weight_min,source_raw_weight_p99,source_raw_weight_max,source_truncation_low,source_truncation_high,source_weight_min,source_weight_p99,source_weight_max,source_effective_sample_size,source_max_absolute_weighted_smd,update_raw_weight_min,update_raw_weight_p99,update_raw_weight_max,update_truncation_low,update_truncation_high,update_weight_min,update_weight_p99,update_weight_max,update_effective_sample_size,update_max_absolute_weighted_smd,target_raw_weight_min,target_raw_weight_p99,target_raw_weight_max,target_truncation_low,target_truncation_high,target_weight_min,target_weight_p99,target_weight_max,target_effective_sample_size,target_max_absolute_weighted_smd,threshold_5_alerts,threshold_5_alerts_per_1000,threshold_5_true_positives_per_1000,threshold_5_false_positives_per_1000,threshold_5_sensitivity,threshold_5_positive_predictive_value,threshold_5_false_positives_per_true_positive,threshold_5_absolute_net_benefit,threshold_5_treat_all_net_benefit,threshold_5_incremental_net_benefit_vs_better_default,threshold_10_alerts,threshold_10_alerts_per_1000,threshold_10_true_positives_per_1000,threshold_10_false_positives_per_1000,threshold_10_sensitivity,threshold_10_positive_predictive_value,threshold_10_false_positives_per_true_positive,threshold_10_absolute_net_benefit,threshold_10_treat_all_net_benefit,threshold_10_incremental_net_benefit_vs_better_default,threshold_20_alerts,threshold_20_alerts_per_1000,threshold_20_true_positives_per_1000,threshold_20_false_positives_per_1000,threshold_20_sensitivity,threshold_20_positive_predictive_value,threshold_20_false_positives_per_true_positive,threshold_20_absolute_net_benefit,threshold_20_treat_all_net_benefit,threshold_20_incremental_net_benefit_vs_better_default
none,False,33396,0.1207247805537118,0.910155363810037,249.91296643187667,0.0966033886478069,0.0981821740742778,0.983919836351592,-0.0339818100875276,-0.1270815238771503,0.9539588465497302,0.691108354084213,0.2368850470967385,0.0816740542967896,0.0641348041910437,0.0124058733832483,1.0003092866532004,3.698265487082193,8.777256370921425,1.0003092866532004,8.777256370921425,1.0057042929386408,3.718211483599721,8.824595082979648,21306.77971870453,0.0348199637854105,1.0020111170052124,2.474350097726173,3.539179405626368,1.0020111170052124,3.539179405626368,1.005775037137536,2.483644661418325,3.5524738575447823,2067.9446094825707,0.0327385302235825,1.0018550560011312,2.806587335714816,3.589829432800426,1.0018550560011312,3.589829432800426,1.005742226596386,2.81747681887813,3.60375787417483,1865.230460465929,0.039352089073397,2067.0,798.9949748743719,88.62435000721867,710.3706248671531,0.9174041537023304,0.1109197839712988,8.015524230183823,0.0512364223826316,0.0490561985766389,0.0021802238059927,762.0,294.54967143409357,54.17091849851195,240.3787529355816,0.5607558829639637,0.1839109792068903,4.437413276316972,0.0274621681723362,-0.0037740126135477,0.0274621681723362,195.0,75.37688442211055,25.16734077633704,50.20954364577351,0.2605223391085295,0.3338867209660714,1.9950277660237257,0.0126149548648936,-0.1292457641902412,0.0126149548648936
0.5/99.5,False,33396,0.0987324622920325,0.9034966286527216,249.91296643187667,0.0966033886478069,0.0981702564087439,0.9840392821791852,-0.0333483589430759,-0.1439277317048191,0.9453534442153596,0.6892324839832416,0.2358412104558512,0.081755417465439,0.0632025012900147,0.014479877513909,1.0003092866532004,3.698265487082193,8.777256370921425,1.0023966133484024,4.148607286748268,1.0106559445430865,3.7287376565777066,4.182790085374728,21577.62013763955,0.0348111339030152,1.0020111170052124,2.474350097726173,3.539179405626368,1.0034443563105455,2.796166900738586,1.008107503445431,2.485848750836684,2.8091610818208155,2072.4658040941067,0.0327385302235825,1.0018550560011312,2.806587335714816,3.589829432800426,1.002842541720051,3.11306218556803,1.0078094140104357,2.8204877839790043,3.1284805405584573,1870.788501639498,0.039352089073397,2064.0,797.8353304986471,88.20845332314336,709.6268771755038,0.913098956028659,0.110559723230122,8.044885160562247,0.0508596703139063,0.0490561985766389,0.0018034717372673,759.0,293.3900270583688,54.58271855994238,238.8073084984264,0.56501867402331,0.1860414926410684,4.375145005578457,0.0280485731712283,-0.0037740126135477,0.0280485731712283,192.0,74.21724004638577,24.787213827231444,49.43002621915433,0.256587415557437,0.3339818863075403,1.994174357944582,0.0124297072724428,-0.1292457641902412,0.0124297072724428
1/99,True,33396,0.0884660934907852,0.8963305835406209,249.91296643187667,0.0966033886478069,0.0983023905215791,0.9827165762220276,-0.0338000760046349,-0.131774266027062,0.9515712689069512,0.6875661834325857,0.2356543830454011,0.0817595648855987,0.0631549779215071,0.014665075324777,1.0003092866532004,3.698265487082193,8.777256370921425,1.0032925770650176,3.698265487082193,1.0140826254283768,3.737207471968224,3.738038993214266,21745.66799974008,0.0349844568876729,1.0020111170052124,2.474350097726173,3.539179405626368,1.0047732236783091,2.474350097726173,1.0114907606838512,2.490824519905788,2.4908926746524305,2080.5340469267244,0.0327385302235825,1.0018550560011312,2.806587335714816,3.589829432800426,1.0035499724844674,2.806587335714816,1.0104488595358396,2.8195976981897024,2.825881172155241,1879.023546284448,0.039352089073397,2087.0,806.7259373792037,88.70212964003571,718.0238077391681,0.9182092976409204,0.10995323880152,8.094775296297824,0.0509114029169216,0.0490561985766389,0.0018552043402826,768.0,296.8689601855431,54.55870742082329,242.31025276471985,0.5647701202256101,0.1837804376271743,4.441275540047671,0.027635346002521,-0.0037740126135477,0.027635346002521,191.0,73.83069192114418,24.77749975729436,49.05319216384983,0.2564868593546676,0.3355989103252382,1.9797474581513752,0.0125142017163319,-0.1292457641902412,0.0125142017163319
2.5/97.5,False,33396,0.0922510830698295,0.9023318330662846,249.91296643187667,0.0966033886478069,0.0984753423053984,0.9809906356884136,-0.0330492091988746,-0.1450282907225016,0.944571450322753,0.6863080199167573,0.2352537624010797,0.0817509125388285,0.0632541211595165,0.0161465183799338,1.0003092866532004,3.698265487082193,8.777256370921425,1.0046453365721406,2.9553638220433314,1.024852956237566,3.014808549366287,3.014808549366287,22227.782650691413,0.0355560950100501,1.0020111170052124,2.474350097726173,3.539179405626368,1.007447182824748,2.181706186017833,1.0181404558467588,2.204863310578433,2.204863310578433,2092.6000000007775,0.0327385302235825,1.0018550560011312,2.806587335714816,3.589829432800426,1.0060441693187057,2.419921264060061,1.018088828127409,2.4488932782702,2.4488932782702,1896.395529028596,0.039352089073397,2087.0,806.7259373792037,88.14211288669698,718.5838244925068,0.912412226118094,0.1092590541628582,8.152559553640566,0.0503219115976176,0.0490561985766389,0.0012657130209787,764.0,295.3227676845767,53.75412880571198,241.56863887886476,0.5564414412178311,0.1820182345816451,4.493955055098863,0.0269131689302825,-0.0037740126135477,0.0269131689302825,191.0,73.83069192114418,24.78840077457836,49.04229114656582,0.256599702366042,0.3357465591823781,1.978437075975508,0.0125278279879369,-0.1292457641902412,0.0125278279879369
