feature,feature_type,preprocessor_training_population,preprocessor_training_n,imputation_value,standardization_mean,standardization_scale,spline_knot_vector_standardized
age,continuous,all eligible INSPIRE,33396,60.0,55.9766139657444,15.835301050426073,"[-6.692428115403144, -5.218927026978589, -3.7454259385540327, -2.2719248501294764, -0.7984237617049204, 0.6750773267196357, 2.1485784151441916, 3.6220795035687474, 5.095580591993303, 6.56908168041786]"
duration_h,continuous,all eligible INSPIRE,33396,2.5,3.011740427995369,1.944207846368437,"[-12.478984936365517, -8.749959763700883, -5.020934591036246, -1.2919094183716107, 2.4371157542930253, 6.166140926957661, 9.895166099622296, 13.62419127228693, 17.353216444951563, 21.082241617616198]"
baseline_cr,continuous,all eligible INSPIRE,33396,0.8,0.8486333692657804,0.34962339760278377,"[-8.748365785120516, -6.250439904526135, -3.7525140239317536, -1.2545881433373722, 1.2433377372570091, 3.7412636178513905, 6.239189498445772, 8.737115379040155, 11.235041259634537, 13.732967140228919]"
sex_male,binary,all eligible INSPIRE,33396,1.0,,,not applicable
