phase,evaluation_population,n,eligible_n,observed_events_unweighted,predicted_probability_min,predicted_probability_p01,predicted_probability_median,predicted_probability_p99,predicted_probability_max,observed_probability_min,observed_probability_median,observed_probability_max,unobserved_probability_min,unobserved_probability_median,unobserved_probability_max,diagnostic_role,weighted_n,events,event_rate,predicted_mean,oe_ratio,calibration_intercept,calibration_joint_intercept,calibration_slope,auroc,auprc,brier,brier_skill_score,grouped_absolute_calibration_error_10q
INSPIRE,observed-unweighted,24874.0,33396,1671,0.0123014446525275,0.019915489967814,0.047500628862413,0.2792173663290346,0.6006050474252954,0.0138877055558117,0.0534394974179696,0.6006050474252954,0.0123014446525275,0.0356417903608105,0.3709868525837652,nuisance/auxiliary outcome-model diagnostic; not independent prediction-model validation,24874.0,1671.0,0.0671785800434188,0.0671743094796399,1.0000635743606747,7.1142383141219e-05,0.0789297230144238,1.032154856228786,0.6971028452773639,0.1543000273716022,0.0603233604098781,0.0373770829314931,0.0055472626853531
INSPIRE,observed-IPW-weighted,24874.0,33396,1671,0.0123014446525275,0.019915489967814,0.047500628862413,0.2792173663290346,0.6006050474252954,0.0138877055558117,0.0534394974179696,0.6006050474252954,0.0123014446525275,0.0356417903608105,0.3709868525837652,nuisance/auxiliary outcome-model diagnostic; not independent prediction-model validation,33396.00000000001,1962.7733491470008,0.0587727077837765,0.0611388273888044,0.9612992315017602,-0.0436938941271461,0.2370006578234386,1.1109252145068735,0.7178916165121485,0.1481063733385178,0.0531112796965434,0.0398998136339611,0.0068663565862509
MOVER 2021,observed-unweighted,2212.0,2802,245,0.0143724063879334,0.01973585374604,0.0683386916419152,0.5423421907416297,0.8226141699335778,0.0158555198503103,0.0741351708542179,0.8226141699335778,0.0143724063879334,0.0487221417055489,0.7760020988084774,nuisance/auxiliary outcome-model diagnostic; not independent prediction-model validation,2212.0,245.0,0.110759493670886,0.1108996163102322,0.9987364912160364,-0.001595799498707,-0.1309681515278535,0.9301782667315912,0.7398939647033191,0.2848422035188888,0.0907377328783304,0.0787283117134147,0.0199472483602614
MOVER 2021,observed-IPW-weighted,2212.0,2802,245,0.0143724063879334,0.01973585374604,0.0683386916419152,0.5423421907416297,0.8226141699335778,0.0158555198503103,0.0741351708542179,0.8226141699335778,0.0143724063879334,0.0487221417055489,0.7760020988084774,nuisance/auxiliary outcome-model diagnostic; not independent prediction-model validation,2802.0,283.1795532403877,0.1010633666097029,0.1021373285705572,0.989485117969261,-0.0131724394726288,-0.0859117595286181,0.9622187914466293,0.7505279438711054,0.27678418061875,0.0834557690846978,0.081385019892928,0.019368385067571
MOVER 2022,observed-unweighted,2033.0,2587,224,0.0052187084353241,0.0102409265537525,0.0633082300293416,0.5128714464726635,0.8067249199525744,0.0056732456561858,0.0777274176552351,0.8067249199525744,0.0052187084353241,0.0326408431057555,0.5703096000864105,nuisance/auxiliary outcome-model diagnostic; not independent prediction-model validation,2033.0,224.0,0.1101819970486965,0.1094326793645655,1.0068472935916584,0.0086628924052306,-0.0861362124104722,0.9472985820383222,0.7537140685461581,0.3005291801435742,0.0879947700106109,0.1024781450180001,0.0166461700151441
MOVER 2022,observed-IPW-weighted,2033.0,2587,224,0.0052187084353241,0.0102409265537525,0.0633082300293416,0.5128714464726635,0.8067249199525744,0.0056732456561858,0.0777274176552351,0.8067249199525744,0.0052187084353241,0.0326408431057555,0.5703096000864105,nuisance/auxiliary outcome-model diagnostic; not independent prediction-model validation,2587.0000000000005,250.7489995519814,0.0969265556830233,0.0978090710494571,0.9909771623739528,-0.0113420393589191,-0.0598528956548645,0.9742452539702012,0.7650310816033306,0.2912083275026593,0.0782052583845705,0.1065503081525552,0.0167122657348725
