stage_varied,estimator_family,reference_type,is_canonical,odds_multiplier,log_odds_shift,source_expected_events,update_expected_events,update_alpha,update_beta,target_expected_events,target_oe_ratio,target_calibration_slope,target_auroc,target_brier,threshold_10_alerts,anchor_note,interpretation,source_eligible_n,update_eligible_n,target_eligible_n,target_events,target_event_rate,target_predicted_mean,target_calibration_intercept,target_calibration_joint_intercept,target_auprc,target_brier_skill_score,target_grouped_absolute_calibration_error_10q,threshold_5_alerts,threshold_5_alerts_per_1000,threshold_5_true_positives_per_1000,threshold_5_false_positives_per_1000,threshold_5_sensitivity,threshold_5_positive_predictive_value,threshold_5_false_positives_per_true_positive,threshold_5_absolute_net_benefit,threshold_5_treat_all_net_benefit,threshold_5_incremental_net_benefit_vs_better_default,threshold_10_alerts_per_1000,threshold_10_true_positives_per_1000,threshold_10_false_positives_per_1000,threshold_10_sensitivity,threshold_10_positive_predictive_value,threshold_10_false_positives_per_true_positive,threshold_10_absolute_net_benefit,threshold_10_treat_all_net_benefit,threshold_10_incremental_net_benefit_vs_better_default,threshold_20_alerts,threshold_20_alerts_per_1000,threshold_20_true_positives_per_1000,threshold_20_false_positives_per_1000,threshold_20_sensitivity,threshold_20_positive_predictive_value,threshold_20_false_positives_per_true_positive,threshold_20_absolute_net_benefit,threshold_20_treat_all_net_benefit,threshold_20_incremental_net_benefit_vs_better_default
update,canonical truncated IPW/AIPW MAR,Canonical MAR reference,True,,,1962.7733491470008,283.1795532403877,0.08846609349078528,0.8963305835406209,249.91296643187667,0.9827165762220277,0.9515712689069513,0.6875661834325857,0.08175956488559878,768.0,An odds multiplier of 1 denotes the outcome-regression completion reference and is not numerically constrained to equal the canonical IPW/AIPW MAR estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,update outcome-regression completion propagated to canonical target MAR,"OR-completion reference, k=1",False,1.0,0.0,1962.7733491470008,284.98178655379,0.025860369244144563,0.859627517190623,249.91296643187667,0.9625345252897765,0.9922000095196118,0.6875661834325857,0.08173780682982328,798.0,An odds multiplier of 1 denotes the outcome-regression completion reference and is not numerically constrained to equal the canonical IPW/AIPW MAR estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,update outcome-regression completion propagated to canonical target MAR,OR-completion sensitivity,False,0.5,-0.6931471805599453,1962.7733491470008,266.8308963371052,0.037272259509125605,0.8973341590850836,249.91296643187667,1.027912019233884,0.9505070347589257,0.6875661834325857,0.08175391601890208,692.0,,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396.0,2802.0,2587.0,249.91296643187667,0.09660338864780699,0.09398021118559031,0.01974947635960527,-0.08302001805357798,0.2356543830454011,0.06321970567112989,0.013062655820520677,1997.0,771.9366061074604,87.711201993557,684.2254041139034,0.9079516073015949,0.11362487709430744,7.80088960773978,0.05169933861914102,0.04905619857663893,0.0026431400425020873,267.4913026671821,48.85746191264268,218.63384075453945,0.5057530858546316,0.18265065602313088,4.474932429880568,0.02456481293991607,-0.003774012613547789,0.02456481293991607,181.0,69.96521066872826,24.867921902023653,45.0972887667046,0.25742287356695315,0.35543267381511157,1.8134723498160397,0.013593599710347506,-0.12924576419024125,0.013593599710347506
update,update outcome-regression completion propagated to canonical target MAR,OR-completion sensitivity,False,0.6666666667,-0.40546510805816444,1962.7733491470008,273.1652614837071,0.03525836076988819,0.8847215045143811,249.91296643187667,1.0041292396544184,0.9640575326673234,0.6875661834325857,0.08173898141744723,728.0,,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396.0,2802.0,2587.0,249.91296643187667,0.09660338864780699,0.09620613047883564,-0.007870091835215537,-0.08158356147850752,0.2356543830454011,0.06339083435863313,0.01350768488756943,2062.0,797.0622342481639,88.14358246361573,708.918651784548,0.9124274385960343,0.1105855712092017,8.04277103301512,0.05083207447495531,0.04905619857663893,0.0017758758983163758,281.4070351758794,51.327137963098174,230.0798972127812,0.5313181937149714,0.18239465097600963,4.48261692242022,0.025762704939455816,-0.003774012613547789,0.025762704939455816,183.0,70.73830691921144,24.861079581527722,45.87722733768372,0.25735204457646216,0.3514514364885914,1.8453433282025054,0.013391772747106793,-0.12924576419024125,0.013391772747106793
update,update outcome-regression completion propagated to canonical target MAR,OR-completion sensitivity,False,1.5,0.4054651081081644,1962.7733491470008,301.0912030910025,0.004841325757371146,0.8235912663236199,249.91296643187667,0.9109926469153232,1.0356137390178584,0.6875661834325857,0.08179486440982406,918.0,,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396.0,2802.0,2587.0,249.91296643187667,0.09660338864780699,0.10604189723694474,-0.12194477715510654,-0.05260621665818916,0.2356543830454011,0.06275049700727442,0.015846966519599784,2336.0,902.9764205643603,93.83603163684806,809.1403889275123,0.971353416793193,0.10391858469371829,8.622917815396772,0.05124969537750531,0.04905619857663893,0.0021934968008663763,354.85117897178196,60.013353049577326,294.8378259222046,0.6212344503604502,0.16912259731945156,4.912870402002662,0.027253594613776806,-0.003774012613547789,0.027253594613776806,204.0,78.85581754928488,25.104309600773973,53.75150794851091,0.25986986535532747,0.31835710263334444,2.141126715026401,0.011666432613646246,-0.12924576419024125,0.011666432613646246
update,update outcome-regression completion propagated to canonical target MAR,OR-completion sensitivity,False,2.0,0.6931471805599453,1962.7733491470008,315.72963475580764,-0.01956771254953609,0.7901289768951838,249.91296643187667,0.8686415641336899,1.079472409797474,0.6875661834325857,0.0819080881835987,1063.0,,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396.0,2802.0,2587.0,249.91296643187667,0.09660338864780699,0.11121202649812306,-0.17725873856661314,-0.026469667368722596,0.2356543830454011,0.06145311817471666,0.019490452518243332,2413.0,932.7406262079629,94.998570221893,837.7420559860698,0.9833875555673852,0.10184886082222844,8.818470152017161,0.050906883064731435,0.04905619857663893,0.0018506844880925022,410.9006571318129,62.66733114011723,348.2333259916957,0.648707379909699,0.1525121219750548,5.556855855454966,0.023974739363262138,-0.003774012613547789,0.023974739363262138,216.0,83.494395052184,25.46969791145856,58.02469714072544,0.26365222036170005,0.3050467985969597,2.278185526284578,0.010963523626277201,-0.12924576419024125,0.010963523626277201
update,update outcome-regression completion propagated to canonical target MAR,OR-completion sensitivity,False,3.0,1.0986122886681098,1962.7733491470008,341.72500439093375,-0.0700837302213618,0.7308730414902708,249.91296643187667,0.8022452845211957,1.1669912314739699,0.6875661834325857,0.08225923585552324,1302.0,,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396.0,2802.0,2587.0,249.91296643187667,0.09660338864780699,0.12041627481233849,-0.269061645215169,0.03419462544852248,0.2356543830454011,0.05742947948587007,0.02669536027063496,2531.0,978.3533049864708,96.41954497507058,881.9337600114004,0.9980969231482484,0.09855288931272523,9.146835947415285,0.05000197865868108,0.04905619857663893,0.0009457800820421441,503.28565906455356,70.05442881689575,433.2312302476578,0.7251756879077769,0.1391941684710517,6.1842090152503095,0.02191762545604488,-0.003774012613547789,0.02191762545604488,235.0,90.83880943177425,26.330263967325866,64.5085454644484,0.27256045917105204,0.28985699099349793,2.449977164851035,0.010203127601213766,-0.12924576419024125,0.010203127601213766
