stage_varied,estimator_family,reference_type,is_canonical,odds_multiplier,log_odds_shift,interpretation,source_eligible_n,update_eligible_n,target_eligible_n,source_expected_events,update_expected_events,target_expected_events,update_alpha,update_beta,target_events,target_event_rate,target_predicted_mean,target_oe_ratio,target_calibration_intercept,target_calibration_joint_intercept,target_calibration_slope,target_auroc,target_auprc,target_brier,target_brier_skill_score,target_grouped_absolute_calibration_error_10q,threshold_5_alerts,threshold_5_alerts_per_1000,threshold_5_true_positives_per_1000,threshold_5_false_positives_per_1000,threshold_5_sensitivity,threshold_5_positive_predictive_value,threshold_5_false_positives_per_true_positive,threshold_5_absolute_net_benefit,threshold_5_treat_all_net_benefit,threshold_5_incremental_net_benefit_vs_better_default,threshold_10_alerts,threshold_10_alerts_per_1000,threshold_10_true_positives_per_1000,threshold_10_false_positives_per_1000,threshold_10_sensitivity,threshold_10_positive_predictive_value,threshold_10_false_positives_per_true_positive,threshold_10_absolute_net_benefit,threshold_10_treat_all_net_benefit,threshold_10_incremental_net_benefit_vs_better_default,threshold_20_alerts,threshold_20_alerts_per_1000,threshold_20_true_positives_per_1000,threshold_20_false_positives_per_1000,threshold_20_sensitivity,threshold_20_positive_predictive_value,threshold_20_false_positives_per_true_positive,threshold_20_absolute_net_benefit,threshold_20_treat_all_net_benefit,threshold_20_incremental_net_benefit_vs_better_default
target,canonical truncated IPW/AIPW MAR,Canonical MAR reference,True,,,Canonical measured-variable MAR reference using truncated IPW/AIPW,33396,2802,2587,1962.7733491470008,283.1795532403877,249.91296643187667,0.08846609349078528,0.8963305835406209,249.91296643187667,0.09660338864780699,0.09830239052157917,0.9827165762220277,-0.033800076004634916,-0.13177426602706205,0.9515712689069513,0.6875661834325857,0.2356543830454011,0.08175956488559878,0.06315497792150715,0.014665075324777016,2087.0,806.7259373792037,88.70212964003571,718.0238077391681,0.9182092976409203,0.10995323880152007,8.094775296297824,0.0509114029169216,0.04905619857663893,0.0018552043402826693,768.0,296.8689601855431,54.55870742082329,242.31025276471982,0.5647701202256101,0.1837804376271743,4.441275540047671,0.027635346002521086,-0.003774012613547789,0.027635346002521086,191.0,73.83069192114418,24.777499757294358,49.05319216384983,0.2564868593546676,0.33559891032523825,1.9797474581513754,0.0125142017163319,-0.12924576419024125,0.0125142017163319
target,target outcome-regression completion,OR-completion sensitivity,False,0.5,-0.6931471805599453,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396,2802,2587,1962.7733491470008,283.1795532403877,240.20916401343823,0.08846609349078528,0.8963305835406209,240.20916401343823,0.09285240201524478,0.09830239052157917,0.9445589422859658,-0.06788694920584913,-0.12044202898585069,0.9740922770379469,0.6917767958371501,0.23373064653333703,0.07896951025808778,0.06246315014740955,0.010683831848839948,2087.0,806.7259373792037,85.03759545943099,721.6883419197727,0.9158362477846214,0.10541076159729179,8.486697419191135,0.04705399851628505,0.0451077915949945,0.0019462069212905497,768.0,296.8689601855431,52.43684710334702,244.43211308219605,0.5647333398519706,0.17663297325046712,4.661457097152473,0.025277723427547454,-0.007941775538616913,0.025277723427547454,191.00000000000003,73.8306919211442,24.09716265930122,49.733529261842975,0.2595211554715071,0.32638408272048297,2.0638749036557806,0.011663780343840476,-0.13393449748094402,0.011663780343840476
target,target outcome-regression completion,OR-completion sensitivity,False,0.6666666667,-0.40546510805816444,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396,2802,2587,1962.7733491470008,283.1795532403877,245.01444208452384,0.08846609349078528,0.8963305835406209,245.01444208452384,0.09470987324488746,0.09830239052157917,0.9634544261067274,-0.04437329430644963,-0.12185545970436672,0.961916132563656,0.6883237495235747,0.2344288998109673,0.08044412760937986,0.061765697568203604,0.010099726734118268,2087.0,806.7259373792037,86.49577913430176,720.230158244902,0.9132709840150789,0.10721829449949144,8.326766524949184,0.048588928700359545,0.04706302446830258,0.0015259042320569655,768.0,296.8689601855431,53.009745864105476,243.85921432143766,0.5597066498763053,0.17856277675838653,4.600271334003172,0.02591427760616796,-0.005877918616791725,0.02591427760616796,191.0,73.83069192114418,24.30813373903117,49.52255818211301,0.25665891956352455,0.32924158106216567,2.037283434169833,0.01192749419350292,-0.1316126584438907,0.01192749419350292
target,target outcome-regression completion,"OR-completion reference, k=1",False,1.0,0.0,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396,2802,2587,1962.7733491470008,283.1795532403877,254.0054138273303,0.08846609349078528,0.8963305835406209,254.0054138273303,0.09818531651616942,0.09830239052157917,0.9988090421322557,-0.0014239339974540012,-0.12845865505899148,0.9378978131009411,0.6816673538411898,0.23543388137931948,0.0832321452263915,0.06000132477545894,0.009086001582408,2087.0,806.7259373792037,89.19355979352945,717.5323775856743,0.908420555723735,0.11056240497645456,8.044665772356893,0.05142869781533606,0.05072138580649412,0.0007073120088419357,768.0,296.8689601855431,54.01149480377331,242.8574653817698,0.5500974760811465,0.18193715762677284,4.496403335328603,0.02702733198357666,-0.002016314982033973,0.02702733198357666,191.0,73.83069192114418,24.652610550098835,49.17808137104534,0.25108245738596746,0.3339073481314434,1.9948427478341917,0.012358090207337502,-0.12726835435478823,0.012358090207337502
target,target outcome-regression completion,OR-completion sensitivity,False,1.5,0.4054651081081644,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396,2802,2587,1962.7733491470008,283.1795532403877,266.29194090162935,0.08846609349078528,0.8963305835406209,266.29194090162935,0.10293465052246979,0.09830239052157917,1.0471225570030644,0.0552091543671583,-0.14367355115676048,0.90347110236712,0.6723785772769839,0.23636740867837067,0.08709085226587464,0.05683676264803961,0.00875578600098247,2087.0,806.7259373792037,92.82467697818076,713.901260401023,0.9017826019423644,0.11506345919624036,7.690856393379441,0.055250926430758504,0.05572068476049451,-0.00046975832973600307,768.0,296.8689601855431,55.25930349737963,241.60965668816345,0.5368386953945793,0.18614038821317855,4.3722892146047485,0.028413786087583694,0.003260722802744198,0.025153063284839496,191.0,73.83069192114418,25.040507422193397,48.790184498950794,0.24326606536374512,0.339161218330965,1.9484503119816197,0.0128429612974557,-0.12133168684691277,0.0128429612974557
target,target outcome-regression completion,OR-completion sensitivity,False,2.0,0.6931471805599453,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396,2802,2587,1962.7733491470008,283.1795532403877,277.4812790220907,0.08846609349078528,0.8963305835406209,277.4812790220907,0.10725986819562841,0.09830239052157917,1.0911216667928632,0.10487995254356043,-0.16186282359186532,0.8713467158436794,0.6639069112036462,0.23694525378062045,0.09064303850736223,0.05338771113331309,0.010853803858287776,2087.0,806.7259373792037,96.08412364178496,710.6418137374187,0.895806840509441,0.11910379868773249,7.3960378343751225,0.058681922918762924,0.060273545469082535,-0.0015916225503196102,768.0,296.8689601855431,56.2986079061831,240.57035227936004,0.5248804501931847,0.1896412742881454,4.273113691909582,0.02956856876403198,0.008066520217364898,0.021502048546667082,191.0,73.83069192114418,25.33114485573723,48.49954706540695,0.23616610090864953,0.3430977578104304,1.9146212041190998,0.01320625808938549,-0.1159251647554645,0.01320625808938549
target,target outcome-regression completion,OR-completion sensitivity,False,3.0,1.0986122886681098,Outcome-regression completion sensitivity parameter; not asserted clinically plausible,33396,2802,2587,1962.7733491470008,283.1795532403877,297.4317825010478,0.08846609349078528,0.8963305835406209,297.4317825010478,0.11497169791304515,0.09830239052157917,1.169571739842957,0.18938608497677079,-0.20076178691524355,0.8138030304680439,0.6490941747393173,0.2376621938161067,0.09704366222880294,0.046283989674309245,0.016832086989032966,2087.0,806.7259373792037,101.80189173940217,704.9240456398015,0.8854517554085048,0.12619142018679128,6.9244690211091875,0.0647006261794126,0.06839126096110015,-0.00369063478168756,768.0,296.8689601855431,57.97487766756361,238.89408251797948,0.5042534703750388,0.19528777151821233,4.120648324397214,0.03143109072112145,0.016635219903383514,0.014795870817737936,191.0,73.83069192114418,25.74389779038379,48.08679413076039,0.22391508743181557,0.34868829101425586,1.8678909667176515,0.013722199257693694,-0.10628537760869355,0.013722199257693694
