strategy,source_model_estimand,update_estimator,primary_or_required_comparator,update_alpha,update_beta,n,weighted_n,events,event_rate,predicted_mean,oe_ratio,calibration_intercept,calibration_joint_intercept,calibration_slope,auroc,auprc,brier,brier_skill_score,grouped_absolute_calibration_error_10q
observed-outcome source model + unupdated source-only comparator,observed-outcome source model,unupdated source-only comparator,False,0.0,1.0,2587.0,2587.0,249.91296643187667,0.0966033886478069,0.0773003422893919,1.2497148885337352,0.2505960736083633,-0.0052139567016651,0.8890566459137733,0.6863538138772449,0.2334443930325606,0.0823052941042342,0.0569017193260532,0.0183858610266728
observed-outcome source model + complete-case recalibration,observed-outcome source model,complete-case recalibration,False,0.1331486979269552,0.9078424373554046,2587.0,2587.0,249.91296643187667,0.0966033886478069,0.1034824700261778,0.9335241864962186,-0.0947635561738846,-0.1356074367988942,0.9793072116166393,0.6863538138772449,0.2334443930325606,0.0819016215661857,0.0615272161514055,0.0149559896664286
observed-outcome source model + 1/99 truncated-IPW recalibration,observed-outcome source model,1/99 truncated-IPW recalibration,False,0.1780900984020448,0.9529779046642436,2587.0,2587.0,249.91296643187667,0.0966033886478069,0.0983744301609853,0.9819969324317293,-0.0354317961424326,-0.1713586120822734,0.9329247210899492,0.6863538138772449,0.2334443930325606,0.0819094152370109,0.0614379120837224,0.0137123335454074
1/99 truncated-IPW source model + unupdated source-only comparator,1/99 truncated-IPW source model,unupdated source-only comparator,True,0.0,1.0,2587.0,2587.0,249.91296643187667,0.0966033886478069,0.074498909688176,1.2967087579154082,0.2960929219604055,-0.0475924731887949,0.8529224307398566,0.6875661834325857,0.2356543830454011,0.0823257710161043,0.056667083868051,0.0215971757032776
1/99 truncated-IPW source model + complete-case recalibration,1/99 truncated-IPW source model,complete-case recalibration,False,0.0331482526333421,0.8488071974819197,2587.0,2587.0,249.91296643187667,0.0966033886478069,0.1031995632183719,0.9360833092228568,-0.0904728278116216,-0.080901436984912,1.00484825443298,0.6875661834325857,0.2356543830454011,0.0817625379436409,0.0631209110251015,0.0149541902112203
1/99 truncated-IPW source model + 1/99 truncated-IPW recalibration,1/99 truncated-IPW source model,1/99 truncated-IPW recalibration,True,0.0884660934907852,0.8963305835406209,2587.0,2587.0,249.91296643187667,0.0966033886478069,0.0983023905215791,0.9827165762220276,-0.0338000760046349,-0.131774266027062,0.9515712689069512,0.6875661834325857,0.2356543830454011,0.0817595648855987,0.0631549779215071,0.014665075324777
