threshold_percent,alerts_estimate,alerts_ci_lower,alerts_ci_upper,alerts_per_1000_estimate,alerts_per_1000_ci_lower,alerts_per_1000_ci_upper,true_positives_per_1000_estimate,true_positives_per_1000_ci_lower,true_positives_per_1000_ci_upper,false_positives_per_1000_estimate,false_positives_per_1000_ci_lower,false_positives_per_1000_ci_upper,positive_predictive_value_estimate,positive_predictive_value_ci_lower,positive_predictive_value_ci_upper,absolute_net_benefit_estimate,absolute_net_benefit_ci_lower,absolute_net_benefit_ci_upper,incremental_net_benefit_vs_better_default_estimate,incremental_net_benefit_vs_better_default_ci_lower,incremental_net_benefit_vs_better_default_ci_upper
5,2087.0,1695.85,2404.0,806.7259373792037,655.5276381909548,929.2616930807885,88.70212964003571,74.87831586009337,102.30380584789003,718.0238077391681,577.2188074850611,834.2963863741153,0.10995323880152007,0.09400624080534403,0.1296524538960618,0.0509114029169216,0.03827060450904348,0.063138158926768,0.0018552043402826693,-0.0031942313148731645,0.006981627055126577
10,768.0,580.975,978.05,296.8689601855431,224.57479706223424,378.0633938925396,54.55870742082329,41.70360630571729,65.75421549691411,242.31025276471982,177.60504075669374,317.49983815209197,0.1837804376271743,0.15018326663406964,0.219847580457989,0.027635346002521086,0.017255857096923007,0.03659418302708111,0.027635346002521086,0.01678184283332402,0.03333131385356112
20,191.0,140.0,248.02499999999998,73.83069192114418,54.11673753382296,95.87359876304599,24.777499757294358,17.920278223229392,31.41318663560683,49.05319216384983,34.470516122736704,68.22005326636064,0.33559891032523825,0.25718558450279244,0.412100070339312,0.0125142017163319,0.005591589784955985,0.018710195833957045,0.0125142017163319,0.005591589784955985,0.018710195833957045
